"Date","remark","value"
1990-05-19,NA,0.192
1990-05-20,NA,0.214
1990-05-21,NA,0.118
1990-05-22,NA,0.0879
1990-05-23,NA,0.0829
1990-05-24,NA,0.084
1990-05-25,NA,0.0852
1990-05-26,NA,0.0865
1990-05-27,NA,0.0877
1990-05-28,NA,0.0889
1990-05-29,NA,0.0902
1990-05-30,NA,0.0915
1990-05-31,NA,0.0928
1990-06-01,NA,0.0941
1990-06-02,NA,0.0954
1990-06-03,NA,0.0968
1990-06-04,NA,0.0982
1990-06-05,NA,0.0996
1990-06-06,NA,0.101
1990-06-07,NA,0.102
1990-06-08,NA,0.104
1990-06-09,NA,0.105
1990-06-10,NA,0.107
1990-06-11,NA,0.108
1990-06-12,NA,0.11
1990-06-13,NA,0.114
1990-06-14,NA,0.118
1990-06-15,NA,0.122
1990-06-16,NA,0.126
1990-06-17,NA,0.13
1990-06-18,NA,0.135
1990-06-19,NA,0.137
1990-06-20,NA,0.117
1990-06-21,NA,0.0951
1990-06-22,NA,0.316
1990-06-23,NA,0.332
1990-06-24,NA,0.111
1990-06-25,NA,0.091
1990-06-26,NA,0.091
1990-06-27,NA,0.091
1990-06-28,NA,0.0955
1990-06-29,NA,0.851
1990-06-30,NA,0.537
1990-07-01,NA,0.318
1990-07-02,NA,0.183
1990-07-03,NA,0.186
1990-07-04,NA,0.189
1990-07-05,NA,0.192
1990-07-06,NA,0.195
1990-07-07,NA,0.198
1990-07-08,NA,0.2
1990-07-09,NA,0.203
1990-07-10,NA,0.207
1990-07-11,NA,0.209
1990-07-12,NA,0.204
1990-07-13,NA,0.197
1990-07-14,NA,0.191
1990-07-15,NA,0.185
1990-07-16,NA,0.179
1990-07-17,NA,0.173
1990-07-18,NA,0.168
1990-07-19,NA,0.162
1990-07-20,NA,0.157
1990-07-21,NA,0.152
1990-07-22,NA,0.147
1990-07-23,NA,0.142
1990-07-24,NA,0.138
1990-07-25,NA,0.133
1990-07-26,NA,0.129
1990-07-27,NA,0.125
1990-07-28,NA,0.121
1990-07-29,NA,0.117
1990-07-30,NA,0.113
1990-07-31,NA,0.11
1990-08-01,NA,0.106
1990-08-02,NA,0.103
1990-08-03,NA,0.0993
1990-08-04,NA,0.0961
1990-08-05,NA,0.093
1990-08-06,NA,0.0901
1990-08-07,NA,0.0884
1990-08-08,NA,0.0868
1990-08-09,NA,0.0853
1990-08-10,NA,0.0838
1990-08-11,NA,0.204
1990-08-12,NA,0.587
1990-08-13,NA,0.278
1990-08-14,NA,0.14
1990-08-15,NA,0.17
1990-08-16,NA,0.242
1990-08-17,NA,0.344
1990-08-18,NA,0.338
1990-08-19,NA,0.439
1990-08-20,NA,0.451
1990-08-21,NA,0.212
1990-08-22,NA,0.176
1990-08-23,NA,0.17
1990-08-24,NA,0.164
1990-08-25,NA,0.159
1990-08-26,NA,0.153
1990-08-27,NA,0.148
1990-08-28,NA,0.143
1990-08-29,NA,0.138
1990-08-30,NA,0.134
1990-08-31,NA,0.129
1990-09-01,NA,0.125
1990-09-02,NA,0.121
1990-09-03,NA,0.117
1990-09-04,NA,0.113
1990-09-05,NA,0.109
1990-09-06,NA,0.105
1990-09-07,NA,0.102
1990-09-08,NA,0.0983
1990-09-09,NA,0.095
1990-09-10,NA,0.0918
1990-09-11,NA,0.0887
1990-09-12,NA,0.0857
1990-09-13,NA,0.0828
1990-09-14,NA,0.08
1990-09-15,NA,0.0773
1990-09-16,NA,0.0747
1990-09-17,NA,0.0722
1990-09-18,NA,0.0698
1990-09-19,NA,0.0674
1990-09-20,NA,0.0652
1990-09-21,NA,0.063
1990-09-22,NA,0.0609
1990-09-23,NA,0.0588
1990-09-24,NA,0.0568
1990-09-25,NA,0.0549
1990-09-26,NA,0.0531
1990-09-27,NA,0.0513
1990-09-28,NA,0.0496
1990-09-29,NA,0.0479
1990-09-30,NA,0.0463
1990-10-01,NA,0.0819
1990-10-02,NA,0.0819
1990-10-03,NA,0.117
1990-10-04,NA,0.114
1990-10-05,NA,0.0977
1990-10-06,NA,0.0949
1990-10-07,NA,0.0922
1990-10-08,NA,0.0895
1990-10-09,NA,0.0869
1990-10-10,NA,0.0844
1990-10-11,NA,0.082
1990-10-12,NA,0.0797
1990-10-13,NA,0.0774
1990-10-14,NA,0.0751
1990-10-15,NA,0.073
1990-10-16,NA,0.0709
1990-10-17,NA,0.0688
1990-10-18,NA,0.0669
1990-10-19,NA,0.0649
1990-10-20,NA,0.0631
1990-10-21,NA,0.0613
1990-10-22,NA,0.0595
1990-10-23,NA,0.0578
1990-10-24,NA,0.0561
1990-10-25,NA,0.0545
1990-10-26,NA,0.0529
1990-10-27,NA,0.0514
1990-10-28,NA,0.05
1990-10-29,NA,0.0492
1990-10-30,NA,0.0484
1990-10-31,NA,0.0476
1990-11-01,NA,0.0469
1990-11-02,NA,0.0462
1990-11-03,NA,0.0798
1990-11-04,NA,0.0754
1990-11-05,NA,0.0595
1990-11-06,NA,0.0519
1990-11-07,NA,0.0453
1990-11-08,NA,0.0395
1990-11-09,NA,0.0345
1990-11-10,NA,0.0301
1990-11-11,NA,0.0262
1990-11-12,NA,0.0229
1990-11-13,NA,0.0204
1990-11-14,NA,0.0205
1990-11-15,NA,0.0209
1990-11-16,NA,0.0214
1990-11-17,NA,0.0219
1990-11-18,NA,0.0224
1990-11-19,NA,0.0229
1990-11-20,NA,0.0235
1990-11-21,NA,0.024
1990-11-22,NA,0.0245
1990-11-23,NA,0.0251
1990-11-24,NA,0.0257
1990-11-25,NA,0.0263
1990-11-26,NA,0.0269
1990-11-27,NA,0.0442
1990-11-28,NA,0.0378
1990-11-29,NA,0.0357
1990-11-30,NA,0.035
1990-12-01,NA,0.0343
1990-12-02,NA,0.0337
1990-12-03,NA,0.033
1990-12-04,NA,0.0324
1990-12-05,NA,0.0318
1990-12-06,NA,0.0312
1990-12-07,NA,0.0306
1990-12-08,NA,0.0301
1990-12-09,NA,0.03
1990-12-10,NA,0.03
1990-12-11,NA,0.03
1990-12-12,NA,0.03
1990-12-13,NA,0.03
1990-12-14,NA,0.03
1990-12-15,NA,0.03
1990-12-16,NA,0.03
1990-12-17,NA,0.03
1990-12-18,NA,0.03
1990-12-19,NA,0.03
1990-12-20,NA,0.03
1990-12-21,NA,0.0299
1990-12-22,NA,0.0297
1990-12-23,NA,0.0294
1990-12-24,NA,0.0291
1990-12-25,NA,0.0288
1990-12-26,NA,0.0286
1990-12-27,NA,0.0283
1990-12-28,NA,0.028
1990-12-29,NA,0.0278
1990-12-30,NA,0.0275
1990-12-31,NA,0.0272
1991-01-01,NA,0.027
1991-01-02,NA,0.0267
1991-01-03,NA,0.0265
1991-01-04,NA,0.0262
1991-01-05,NA,0.026
1991-01-06,NA,0.0257
1991-01-07,NA,0.0255
1991-01-08,NA,0.0252
1991-01-09,NA,0.025
1991-01-10,NA,0.0247
1991-01-11,NA,0.0245
1991-01-12,NA,0.0243
1991-01-13,NA,0.024
1991-01-14,NA,0.0238
1991-01-15,NA,0.0236
1991-01-16,NA,0.0234
1991-01-17,NA,0.0231
1991-01-18,NA,0.0229
1991-01-19,NA,0.0227
1991-01-20,NA,0.0225
1991-01-21,NA,0.0223
1991-01-22,NA,0.0221
1991-01-23,NA,0.0218
1991-01-24,NA,0.0216
1991-01-25,NA,0.0214
1991-01-26,NA,0.0212
1991-01-27,NA,0.021
1991-01-28,NA,0.0208
1991-01-29,NA,0.0206
1991-01-30,NA,0.0204
1991-01-31,NA,0.0202
1991-02-01,NA,0.0201
1991-02-02,NA,0.0203
1991-02-03,NA,0.0206
1991-02-04,NA,0.0209
1991-02-05,NA,0.0212
1991-02-06,NA,0.0216
1991-02-07,NA,0.0219
1991-02-08,NA,0.0223
1991-02-09,NA,0.0226
1991-02-10,NA,0.023
1991-02-11,NA,0.0233
1991-02-12,NA,0.0237
1991-02-13,NA,0.0241
1991-02-14,NA,0.0245
1991-02-15,NA,0.0248
1991-02-16,NA,0.0252
1991-02-17,NA,0.0256
1991-02-18,NA,0.026
1991-02-19,NA,0.0264
1991-02-20,NA,0.0269
1991-02-21,NA,0.153
1991-02-22,NA,0.748
1991-02-23,NA,0.424
1991-02-24,NA,0.144
1991-02-25,NA,0.112
1991-02-26,NA,0.0915
1991-02-27,NA,0.0747
1991-02-28,NA,0.0613
1991-03-01,NA,0.496
1991-03-02,NA,1.24
1991-03-03,NA,1.06
1991-03-04,NA,0.612
1991-03-05,NA,0.484
1991-03-06,NA,0.548
1991-03-07,NA,0.362
1991-03-08,NA,0.311
1991-03-09,NA,0.26
1991-03-10,NA,0.218
1991-03-11,NA,0.182
1991-03-12,NA,0.139
1991-03-13,NA,0.101
1991-03-14,NA,0.091
1991-03-15,NA,0.091
1991-03-16,NA,0.0894
1991-03-17,NA,0.0833
1991-03-18,NA,0.0774
1991-03-19,NA,0.0719
1991-03-20,NA,0.0668
1991-03-21,NA,0.0614
1991-03-22,NA,0.0638
1991-03-23,NA,0.135
1991-03-24,NA,0.112
1991-03-25,NA,0.0953
1991-03-26,NA,0.0812
1991-03-27,NA,0.178
1991-03-28,NA,0.185
1991-03-29,NA,0.129
1991-03-30,NA,0.0949
1991-03-31,NA,0.0888
1991-04-01,NA,0.0867
1991-04-02,NA,0.0846
1991-04-03,NA,0.0826
1991-04-04,NA,0.0806
1991-04-05,NA,0.0787
1991-04-06,NA,0.0768
1991-04-07,NA,0.0749
1991-04-08,NA,0.0771
1991-04-09,NA,0.263
1991-04-10,NA,0.214
1991-04-11,NA,0.112
1991-04-12,NA,0.111
1991-04-13,NA,0.243
1991-04-14,NA,0.274
1991-04-15,NA,0.256
1991-04-16,NA,0.143
1991-04-17,NA,0.1
1991-04-18,NA,0.0754
1991-04-19,NA,0.0698
1991-04-20,NA,0.0669
1991-04-21,NA,0.0641
1991-04-22,NA,0.0614
1991-04-23,NA,0.0589
1991-04-24,NA,0.0564
1991-04-25,NA,0.0541
1991-04-26,NA,0.0518
1991-04-27,NA,0.0497
1991-04-28,NA,0.0476
1991-04-29,NA,0.0456
1991-04-30,NA,0.0437
1991-05-01,NA,0.0419
1991-05-02,NA,0.0404
1991-05-03,NA,0.041
1991-05-04,NA,0.0422
1991-05-05,NA,0.0434
1991-05-06,NA,0.0446
1991-05-07,NA,0.0458
1991-05-08,NA,0.0471
1991-05-09,NA,0.0484
1991-05-10,NA,0.0498
1991-05-11,NA,0.0512
1991-05-12,NA,0.0526
1991-05-13,NA,0.0541
1991-05-14,NA,0.0556
1991-05-15,NA,0.0572
1991-05-16,NA,0.0588
1991-05-17,NA,0.0605
1991-05-18,NA,0.0622
1991-05-19,NA,0.0639
1991-05-20,NA,0.0657
1991-05-21,NA,0.0676
1991-05-22,NA,0.0695
1991-05-23,NA,0.0714
1991-05-24,NA,0.0734
1991-05-25,NA,0.0755
1991-05-26,NA,0.0776
1991-05-27,NA,0.0798
1991-05-28,NA,0.082
1991-05-29,NA,0.0843
1991-05-30,NA,0.0867
1991-05-31,NA,0.0892
1991-06-01,NA,0.0917
1991-06-02,NA,0.0942
1991-06-03,NA,0.0969
1991-06-04,NA,0.0992
1991-06-05,NA,0.0972
1991-06-06,NA,0.0941
1991-06-07,NA,0.091
1991-06-08,NA,0.0881
1991-06-09,NA,0.0852
1991-06-10,NA,0.0825
1991-06-11,NA,0.0798
1991-06-12,NA,0.0772
1991-06-13,NA,0.0747
1991-06-14,NA,0.09
1991-06-15,NA,0.169
1991-06-16,NA,0.114
1991-06-17,NA,0.0968
1991-06-18,NA,0.091
1991-06-19,NA,0.091
1991-06-20,NA,0.091
1991-06-21,NA,0.091
1991-06-22,NA,0.091
1991-06-23,NA,0.091
1991-06-24,NA,0.091
1991-06-25,NA,0.091
1991-06-26,NA,0.091
1991-06-27,NA,0.091
1991-06-28,NA,0.091
1991-06-29,NA,0.091
1991-06-30,NA,0.091
1991-07-01,NA,0.163
1991-07-02,NA,0.239
1991-07-03,NA,0.118
1991-07-04,NA,0.104
1991-07-05,NA,0.0999
1991-07-06,NA,0.0956
1991-07-07,NA,0.111
1991-07-08,NA,0.116
1991-07-09,NA,0.105
1991-07-10,NA,0.101
1991-07-11,NA,0.0968
1991-07-12,NA,0.093
1991-07-13,NA,0.0894
1991-07-14,NA,0.086
1991-07-15,NA,0.0826
1991-07-16,NA,0.0803
1991-07-17,NA,0.0805
1991-07-18,NA,0.0808
1991-07-19,NA,0.0812
1991-07-20,NA,0.0816
1991-07-21,NA,0.125
1991-07-22,NA,0.112
1991-07-23,NA,0.0982
1991-07-24,NA,0.0899
1991-07-25,NA,0.0878
1991-07-26,NA,0.0858
1991-07-27,NA,0.0838
1991-07-28,NA,0.0818
1991-07-29,NA,0.0799
1991-07-30,NA,0.0781
1991-07-31,NA,0.0762
1991-08-01,NA,0.0745
1991-08-02,NA,0.0727
1991-08-03,NA,0.071
1991-08-04,NA,0.0694
1991-08-05,NA,0.0678
1991-08-06,NA,0.0662
1991-08-07,NA,0.0646
1991-08-08,NA,0.254
1991-08-09,NA,0.129
1991-08-10,NA,0.0942
1991-08-11,NA,0.0855
1991-08-12,NA,0.0803
1991-08-13,NA,0.0755
1991-08-14,NA,0.0709
1991-08-15,NA,0.0666
1991-08-16,NA,0.0626
1991-08-17,NA,0.0588
1991-08-18,NA,0.0552
1991-08-19,NA,0.0519
1991-08-20,NA,0.0488
1991-08-21,NA,0.0462
1991-08-22,NA,0.0471
1991-08-23,NA,0.0489
1991-08-24,NA,0.0508
1991-08-25,NA,0.0527
1991-08-26,NA,0.0547
1991-08-27,NA,0.0569
1991-08-28,NA,0.059
1991-08-29,NA,0.0613
1991-08-30,NA,0.0897
1991-08-31,NA,0.11
1991-09-01,NA,0.0924
1991-09-02,NA,0.0887
1991-09-03,NA,0.0864
1991-09-04,NA,0.0842
1991-09-05,NA,0.0821
1991-09-06,NA,0.08
1991-09-07,NA,0.078
1991-09-08,NA,0.076
1991-09-09,NA,0.074
1991-09-10,NA,0.0953
1991-09-11,NA,0.0832
1991-09-12,NA,0.437
1991-09-13,NA,0.353
1991-09-14,NA,0.222
1991-09-15,NA,0.515
1991-09-16,NA,0.289
1991-09-17,NA,0.137
1991-09-18,NA,0.109
1991-09-19,NA,0.0884
1991-09-20,NA,0.0835
1991-09-21,NA,0.0788
1991-09-22,NA,0.0744
1991-09-23,NA,0.0702
1991-09-24,NA,0.0662
1991-09-25,NA,0.0625
1991-09-26,NA,0.059
1991-09-27,NA,0.0557
1991-09-28,NA,0.0526
1991-09-29,NA,0.0496
1991-09-30,NA,0.0468
1991-10-01,NA,0.05
1991-10-02,NA,0.05
1991-10-03,NA,0.05
1991-10-04,NA,0.0801
1991-10-05,NA,0.0884
1991-10-06,NA,0.0576
1991-10-07,NA,0.0554
1991-10-08,NA,0.0532
1991-10-09,NA,0.0511
1991-10-10,NA,0.0491
1991-10-11,NA,0.0472
1991-10-12,NA,0.0453
1991-10-13,NA,0.0435
1991-10-14,NA,0.0418
1991-10-15,NA,0.0844
1991-10-16,NA,0.11
1991-10-17,NA,0.0526
1991-10-18,NA,0.0482
1991-10-19,NA,0.0467
1991-10-20,NA,0.0453
1991-10-21,NA,0.0439
1991-10-22,NA,0.0426
1991-10-23,NA,0.0412
1991-10-24,NA,0.135
1991-10-25,NA,0.811
1991-10-26,NA,0.434
1991-10-27,NA,0.272
1991-10-28,NA,0.173
1991-10-29,NA,0.13
1991-10-30,NA,0.179
1991-10-31,NA,0.306
1991-11-01,NA,0.514
1991-11-02,NA,0.408
1991-11-03,NA,0.203
1991-11-04,NA,0.128
1991-11-05,NA,0.12
1991-11-06,NA,0.113
1991-11-07,NA,0.107
1991-11-08,NA,0.1
1991-11-09,NA,0.0947
1991-11-10,NA,0.0893
1991-11-11,NA,0.0843
1991-11-12,NA,0.0795
1991-11-13,NA,0.0749
1991-11-14,NA,0.0932
1991-11-15,NA,0.271
1991-11-16,NA,0.171
1991-11-17,NA,0.118
1991-11-18,NA,0.285
1991-11-19,NA,0.193
1991-11-20,NA,0.104
1991-11-21,NA,0.0867
1991-11-22,NA,0.0829
1991-11-23,NA,0.109
1991-11-24,NA,0.103
1991-11-25,NA,0.0886
1991-11-26,NA,0.0865
1991-11-27,NA,0.0845
1991-11-28,NA,0.0825
1991-11-29,NA,0.0945
1991-11-30,NA,0.331
1991-12-01,NA,0.166
1991-12-02,NA,0.0981
1991-12-03,NA,0.0931
1991-12-04,NA,0.0886
1991-12-05,NA,0.0843
1991-12-06,NA,0.0802
1991-12-07,NA,0.0762
1991-12-08,NA,0.0725
1991-12-09,NA,0.069
1991-12-10,NA,0.0656
1991-12-11,NA,0.0624
1991-12-12,NA,0.203
1991-12-13,NA,0.221
1991-12-14,NA,0.166
1991-12-15,NA,0.132
1991-12-16,NA,0.104
1991-12-17,NA,0.0826
1991-12-18,NA,0.0655
1991-12-19,NA,0.0524
1991-12-20,NA,0.0488
1991-12-21,NA,0.0475
1991-12-22,NA,0.0462
1991-12-23,NA,0.0449
1991-12-24,NA,0.0436
1991-12-25,NA,0.0424
1991-12-26,NA,0.0413
1991-12-27,NA,0.0401
1991-12-28,NA,0.0386
1991-12-29,NA,0.0371
1991-12-30,NA,0.0357
1991-12-31,NA,0.0343
1992-01-01,NA,0.033
1992-01-02,NA,0.0317
1992-01-03,NA,0.0305
1992-01-04,NA,0.0293
1992-01-05,NA,0.0281
1992-01-06,NA,0.027
1992-01-07,NA,0.026
1992-01-08,NA,0.025
1992-01-09,NA,0.024
1992-01-10,NA,0.0231
1992-01-11,NA,0.0222
1992-01-12,NA,0.0213
1992-01-13,NA,0.0205
1992-01-14,NA,0.0197
1992-01-15,NA,0.0189
1992-01-16,NA,0.0182
1992-01-17,NA,0.0175
1992-01-18,NA,0.0168
1992-01-19,NA,0.0161
1992-01-20,NA,0.0155
1992-01-21,NA,0.0149
1992-01-22,NA,0.0143
1992-01-23,NA,0.0138
1992-01-24,NA,0.0132
1992-01-25,NA,0.0127
1992-01-26,NA,0.0122
1992-01-27,NA,0.0118
1992-01-28,NA,0.0113
1992-01-29,NA,0.0109
1992-01-30,NA,0.0104
1992-01-31,NA,0.0101
1992-02-01,NA,0.0105
1992-02-02,NA,0.0111
1992-02-03,NA,0.0117
1992-02-04,NA,0.0124
1992-02-05,NA,0.0131
1992-02-06,NA,0.0138
1992-02-07,NA,0.0146
1992-02-08,NA,0.0154
1992-02-09,NA,0.0163
1992-02-10,NA,0.0172
1992-02-11,NA,0.0182
1992-02-12,NA,0.0192
1992-02-13,NA,0.0203
1992-02-14,NA,0.0214
1992-02-15,NA,0.0226
1992-02-16,NA,0.0239
1992-02-17,NA,0.0252
1992-02-18,NA,0.0267
1992-02-19,NA,0.0281
1992-02-20,NA,0.0729
1992-02-21,NA,0.23
1992-02-22,NA,0.329
1992-02-23,NA,0.581
1992-02-24,NA,0.664
1992-02-25,NA,0.419
1992-02-26,NA,0.334
1992-02-27,NA,0.742
1992-02-28,NA,1.18
1992-02-29,NA,1.24
1992-03-01,NA,1.09
1992-03-02,NA,0.762
1992-03-03,NA,0.433
1992-03-04,NA,0.271
1992-03-05,NA,0.209
1992-03-06,NA,0.17
1992-03-07,NA,0.139
1992-03-08,NA,0.113
1992-03-09,NA,0.179
1992-03-10,NA,0.161
1992-03-11,NA,0.143
1992-03-12,NA,0.109
1992-03-13,NA,0.0928
1992-03-14,NA,0.0863
1992-03-15,NA,0.0803
1992-03-16,NA,0.0747
1992-03-17,NA,0.0695
1992-03-18,NA,0.0647
1992-03-19,NA,0.0602
1992-03-20,NA,0.056
1992-03-21,NA,0.0521
1992-03-22,NA,0.0485
1992-03-23,NA,0.0451
1992-03-24,NA,0.042
1992-03-25,NA,0.0391
1992-03-26,NA,0.0363
1992-03-27,NA,0.0338
1992-03-28,NA,0.0315
1992-03-29,NA,0.0952
1992-03-30,NA,0.0787
1992-03-31,NA,0.0507
1992-04-01,NA,0.0327
1992-04-02,NA,0.0217
1992-04-03,NA,0.02
1992-04-04,NA,0.02
1992-04-05,NA,0.02
1992-04-06,NA,0.02
1992-04-07,NA,0.02
1992-04-08,NA,0.0201
1992-04-09,NA,0.152
1992-04-10,NA,0.114
1992-04-11,NA,0.206
1992-04-12,NA,0.168
1992-04-13,NA,0.14
1992-04-14,NA,0.117
1992-04-15,NA,0.119
1992-04-16,NA,0.146
1992-04-17,NA,0.152
1992-04-18,NA,0.1
1992-04-19,NA,0.282
1992-04-20,NA,0.395
1992-04-21,NA,0.187
1992-04-22,NA,0.126
1992-04-23,NA,0.0941
1992-04-24,NA,0.0725
1992-04-25,NA,0.0686
1992-04-26,NA,0.0673
1992-04-27,NA,0.066
1992-04-28,NA,0.0647
1992-04-29,NA,0.0634
1992-04-30,NA,0.0622
1992-05-01,NA,0.061
1992-05-02,NA,0.0598
1992-05-03,NA,0.0586
1992-05-04,NA,0.0575
1992-05-05,NA,0.0564
1992-05-06,NA,0.0553
1992-05-07,NA,0.0542
1992-05-08,NA,0.0532
1992-05-09,NA,0.0521
1992-05-10,NA,0.0511
1992-05-11,NA,0.0501
1992-05-12,NA,0.0491
1992-05-13,NA,0.0482
1992-05-14,NA,0.0473
1992-05-15,NA,0.0463
1992-05-16,NA,0.0454
1992-05-17,NA,0.0445
1992-05-18,NA,0.0437
1992-05-19,NA,0.0428
1992-05-20,NA,0.042
1992-05-21,NA,0.0412
1992-05-22,NA,0.0404
1992-05-23,NA,0.151
1992-05-24,NA,0.119
1992-05-25,NA,0.0951
1992-05-26,NA,0.076
1992-05-27,NA,0.062
1992-05-28,NA,0.0588
1992-05-29,NA,0.0575
1992-05-30,NA,0.0563
1992-05-31,NA,0.0551
1992-06-01,NA,0.0539
1992-06-02,NA,0.0528
1992-06-03,NA,0.0516
1992-06-04,NA,0.0505
1992-06-05,NA,0.0494
1992-06-06,NA,0.0484
1992-06-07,NA,0.0473
1992-06-08,NA,0.0463
1992-06-09,NA,0.0453
1992-06-10,NA,0.0444
1992-06-11,NA,0.0434
1992-06-12,NA,0.0425
1992-06-13,NA,0.0416
1992-06-14,NA,0.0407
1992-06-15,NA,0.407
1992-06-16,NA,0.452
1992-06-17,NA,0.432
1992-06-18,NA,0.234
1992-06-19,NA,0.186
1992-06-20,NA,0.155
1992-06-21,NA,0.129
1992-06-22,NA,0.107
1992-06-23,NA,0.091
1992-06-24,NA,0.0858
1992-06-25,NA,0.082
1992-06-26,NA,0.0784
1992-06-27,NA,0.0749
1992-06-28,NA,0.0716
1992-06-29,NA,0.0684
1992-06-30,NA,0.0654
1992-07-01,NA,0.0625
1992-07-02,NA,0.193
1992-07-03,NA,0.122
1992-07-04,NA,0.104
1992-07-05,NA,0.0933
1992-07-06,NA,0.0839
1992-07-07,NA,0.0754
1992-07-08,NA,0.756
1992-07-09,NA,0.226
1992-07-10,NA,0.161
1992-07-11,NA,0.15
1992-07-12,NA,0.215
1992-07-13,NA,0.396
1992-07-14,NA,0.46
1992-07-15,NA,0.26
1992-07-16,NA,0.19
1992-07-17,NA,0.148
1992-07-18,NA,0.115
1992-07-19,NA,0.1
1992-07-20,NA,0.192
1992-07-21,NA,0.156
1992-07-22,NA,0.152
1992-07-23,NA,0.148
1992-07-24,NA,0.144
1992-07-25,NA,0.14
1992-07-26,NA,0.137
1992-07-27,NA,0.133
1992-07-28,NA,0.13
1992-07-29,NA,0.127
1992-07-30,NA,0.123
1992-07-31,NA,0.12
1992-08-01,NA,0.117
1992-08-02,NA,0.114
1992-08-03,NA,0.111
1992-08-04,NA,0.109
1992-08-05,NA,0.106
1992-08-06,NA,0.103
1992-08-07,NA,0.123
1992-08-08,NA,0.265
1992-08-09,NA,0.176
1992-08-10,NA,0.173
1992-08-11,NA,0.17
1992-08-12,NA,0.166
1992-08-13,NA,0.163
1992-08-14,NA,0.16
1992-08-15,NA,0.157
1992-08-16,NA,0.154
1992-08-17,NA,0.15
1992-08-18,NA,0.139
1992-08-19,NA,0.127
1992-08-20,NA,0.115
1992-08-21,NA,0.105
1992-08-22,NA,0.0954
1992-08-23,NA,0.0868
1992-08-24,NA,0.079
1992-08-25,NA,0.0739
1992-08-26,NA,0.119
1992-08-27,NA,0.112
1992-08-28,NA,0.105
1992-08-29,NA,0.12
1992-08-30,NA,0.112
1992-08-31,NA,0.102
1992-09-01,NA,0.0954
1992-09-02,NA,0.111
1992-09-03,NA,0.13
1992-09-04,NA,0.107
1992-09-05,NA,0.0959
1992-09-06,NA,0.11
1992-09-07,NA,0.0937
1992-09-08,NA,0.0856
1992-09-09,NA,0.122
1992-09-10,NA,0.117
1992-09-11,NA,0.112
1992-09-12,NA,0.108
1992-09-13,NA,0.104
1992-09-14,NA,0.157
1992-09-15,NA,0.14
1992-09-16,NA,0.478
1992-09-17,NA,0.565
1992-09-18,NA,0.534
1992-09-19,NA,0.255
1992-09-20,NA,0.224
1992-09-21,NA,0.205
1992-09-22,NA,0.178
1992-09-23,NA,0.124
1992-09-24,NA,0.107
1992-09-25,NA,0.104
1992-09-26,NA,0.133
1992-09-27,NA,0.257
1992-09-28,NA,0.177
1992-09-29,NA,0.149
1992-09-30,NA,0.131
1992-10-01,NA,0.116
1992-10-02,NA,0.11
1992-10-03,NA,0.103
1992-10-04,NA,0.097
1992-10-05,NA,0.0912
1992-10-06,NA,0.0858
1992-10-07,NA,0.081
1992-10-08,NA,0.08
1992-10-09,NA,0.08
1992-10-10,NA,0.08
1992-10-11,NA,0.08
1992-10-12,NA,0.08
1992-10-13,NA,0.08
1992-10-14,NA,0.08
1992-10-15,NA,0.0822
